student,student_status,strategy,gain,old_utility,new_utility,regret_before,regret_after,old_bundle,new_bundle,desired_items,true_preferences,reported_preferences
156,3.0,promote_single_29,2.0,28.0,30.0,14.0,12.0,"[7, 27, 30, 33]","[7, 29, 31, 33, 47]","[7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 90, 95]","[7.0, 7.0, 7.0, 7.0, 2.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 4.0, 5.0, 5.0, 2.0, 6.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 5.0, 5.0, 6.0, 5.0, 3.0, 4.0, 3.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0, 1.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 2.0, 3.0, 4.0, 4.0, 1.0, 5.0, 5.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 4.0, 4.0, 5.0, 4.0, 2.0, 3.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0]"
166,3.0,boost_missed,7.0,14.0,21.0,14.0,7.0,"[31, 35]","[31, 35, 64]","[21, 31, 35, 64]","[7.0, 7.0, 7.0, 7.0]","[7.0, 5.0, 5.0, 7.0]"
166,3.0,demote_assigned,7.0,14.0,21.0,14.0,7.0,"[31, 35]","[31, 35, 64]","[21, 31, 35, 64]","[7.0, 7.0, 7.0, 7.0]","[7.0, 4.0, 4.0, 7.0]"
166,3.0,promote_single_64,7.0,14.0,21.0,14.0,7.0,"[31, 35]","[31, 35, 64]","[21, 31, 35, 64]","[7.0, 7.0, 7.0, 7.0]","[6.0, 6.0, 6.0, 7.0]"
81,4.0,boost_missed,1.0,23.0,24.0,13.0,12.0,"[35, 41, 50, 59]","[35, 44, 48, 68]","[14, 35, 37, 41, 44, 45, 48, 50, 51, 57, 58, 59, 61, 62, 66, 67, 68, 73, 81, 82, 84, 85]","[2.0, 7.0, 3.0, 7.0, 6.0, 2.0, 6.0, 3.0, 1.0, 1.0, 1.0, 6.0, 4.0, 5.0, 1.0, 4.0, 5.0, 3.0, 3.0, 2.0, 5.0, 3.0]","[2.0, 5.0, 3.0, 5.0, 7.0, 2.0, 6.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 1.0, 4.0, 7.0, 3.0, 3.0, 2.0, 7.0, 3.0]"
81,4.0,demote_assigned,1.0,23.0,24.0,13.0,12.0,"[35, 41, 50, 59]","[35, 44, 48, 68]","[14, 35, 37, 41, 44, 45, 48, 50, 51, 57, 58, 59, 61, 62, 66, 67, 68, 73, 81, 82, 84, 85]","[2.0, 7.0, 3.0, 7.0, 6.0, 2.0, 6.0, 3.0, 1.0, 1.0, 1.0, 6.0, 4.0, 5.0, 1.0, 4.0, 5.0, 3.0, 3.0, 2.0, 5.0, 3.0]","[2.0, 4.0, 3.0, 4.0, 6.0, 2.0, 6.0, 0.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 1.0, 4.0, 5.0, 3.0, 3.0, 2.0, 5.0, 3.0]"
81,4.0,promote_single_44,2.0,23.0,25.0,13.0,11.0,"[35, 41, 50, 59]","[35, 44, 48, 59]","[14, 35, 37, 41, 44, 45, 48, 50, 51, 57, 58, 59, 61, 62, 66, 67, 68, 73, 81, 82, 84, 85]","[2.0, 7.0, 3.0, 7.0, 6.0, 2.0, 6.0, 3.0, 1.0, 1.0, 1.0, 6.0, 4.0, 5.0, 1.0, 4.0, 5.0, 3.0, 3.0, 2.0, 5.0, 3.0]","[1.0, 6.0, 2.0, 6.0, 7.0, 1.0, 5.0, 2.0, 0.0, 0.0, 0.0, 5.0, 3.0, 4.0, 0.0, 3.0, 4.0, 2.0, 2.0, 1.0, 4.0, 2.0]"
81,4.0,promote_single_68,1.0,23.0,24.0,13.0,12.0,"[35, 41, 50, 59]","[35, 48, 59, 68]","[14, 35, 37, 41, 44, 45, 48, 50, 51, 57, 58, 59, 61, 62, 66, 67, 68, 73, 81, 82, 84, 85]","[2.0, 7.0, 3.0, 7.0, 6.0, 2.0, 6.0, 3.0, 1.0, 1.0, 1.0, 6.0, 4.0, 5.0, 1.0, 4.0, 5.0, 3.0, 3.0, 2.0, 5.0, 3.0]","[1.0, 6.0, 2.0, 6.0, 5.0, 1.0, 5.0, 2.0, 0.0, 0.0, 0.0, 5.0, 3.0, 4.0, 0.0, 3.0, 7.0, 2.0, 2.0, 1.0, 4.0, 2.0]"
81,4.0,promote_single_84,1.0,23.0,24.0,13.0,12.0,"[35, 41, 50, 59]","[35, 48, 59, 84]","[14, 35, 37, 41, 44, 45, 48, 50, 51, 57, 58, 59, 61, 62, 66, 67, 68, 73, 81, 82, 84, 85]","[2.0, 7.0, 3.0, 7.0, 6.0, 2.0, 6.0, 3.0, 1.0, 1.0, 1.0, 6.0, 4.0, 5.0, 1.0, 4.0, 5.0, 3.0, 3.0, 2.0, 5.0, 3.0]","[1.0, 6.0, 2.0, 6.0, 5.0, 1.0, 5.0, 2.0, 0.0, 0.0, 0.0, 5.0, 3.0, 4.0, 0.0, 3.0, 4.0, 2.0, 2.0, 1.0, 7.0, 2.0]"
189,2.0,promote_single_36,1.0,24.0,25.0,13.0,12.0,"[28, 32, 35, 39]","[28, 31, 32, 36]","[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 92, 94, 95]","[5.0, 7.0, 7.0, 5.0, 5.0, 7.0, 7.0, 4.0, 4.0, 6.0, 6.0, 6.0, 6.0, 3.0, 5.0, 5.0, 2.0, 3.0, 2.0, 2.0, 3.0, 1.0, 3.0, 5.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0]","[4.0, 6.0, 6.0, 4.0, 4.0, 6.0, 6.0, 3.0, 3.0, 7.0, 5.0, 5.0, 5.0, 2.0, 4.0, 4.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0]"
