student,student_status,strategy,gain,old_utility,new_utility,regret_before,regret_after,old_bundle,new_bundle,desired_items,true_preferences,reported_preferences
189,2.0,promote_single_29,3.0,20.0,23.0,17.0,14.0,"[28, 32, 39]","[29, 32, 39, 47]","[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 92, 94, 95]","[5.0, 7.0, 7.0, 5.0, 5.0, 7.0, 7.0, 4.0, 4.0, 6.0, 6.0, 6.0, 6.0, 3.0, 5.0, 5.0, 2.0, 3.0, 2.0, 2.0, 3.0, 1.0, 3.0, 5.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0]","[4.0, 6.0, 7.0, 4.0, 4.0, 6.0, 6.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 2.0, 4.0, 4.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0]"
156,3.0,promote_single_10,2.0,28.0,30.0,14.0,12.0,"[8, 28, 31, 34]","[7, 10, 31, 35, 47]","[7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 90, 95]","[7.0, 7.0, 7.0, 7.0, 2.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 4.0, 5.0, 5.0, 2.0, 6.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 5.0, 5.0, 6.0, 5.0, 3.0, 4.0, 3.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 7.0, 6.0, 1.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 2.0, 3.0, 4.0, 4.0, 1.0, 5.0, 5.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 4.0, 4.0, 5.0, 4.0, 2.0, 3.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0]"
156,3.0,promote_single_23,2.0,28.0,30.0,14.0,12.0,"[8, 28, 31, 34]","[7, 23, 31, 35, 47]","[7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 90, 95]","[7.0, 7.0, 7.0, 7.0, 2.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 4.0, 5.0, 5.0, 2.0, 6.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 5.0, 5.0, 6.0, 5.0, 3.0, 4.0, 3.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0, 1.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 2.0, 3.0, 4.0, 4.0, 1.0, 5.0, 5.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 4.0, 4.0, 5.0, 4.0, 2.0, 3.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0]"
156,3.0,promote_single_41,2.0,28.0,30.0,14.0,12.0,"[8, 28, 31, 34]","[7, 31, 35, 41, 90]","[7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 90, 95]","[7.0, 7.0, 7.0, 7.0, 2.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 4.0, 5.0, 5.0, 2.0, 6.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 6.0, 5.0, 5.0, 6.0, 5.0, 3.0, 4.0, 3.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0, 1.0, 3.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 2.0, 3.0, 4.0, 4.0, 1.0, 5.0, 5.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 4.0, 4.0, 5.0, 4.0, 2.0, 3.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0]"
155,3.0,boost_missed,3.0,16.0,19.0,14.0,11.0,"[30, 37, 41, 49]","[35, 48, 60, 68]","[13, 14, 30, 35, 37, 41, 44, 47, 48, 49, 52, 54, 58, 60, 61, 67, 68]","[5.0, 7.0, 7.0, 7.0, 2.0, 6.0, 3.0, 3.0, 5.0, 1.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 6.0]","[5.0, 7.0, 5.0, 7.0, 0.0, 4.0, 3.0, 3.0, 5.0, 0.0, 2.0, 2.0, 2.0, 1.0, 6.0, 3.0, 7.0]"
155,3.0,only_missed,3.0,16.0,19.0,14.0,11.0,"[30, 37, 41, 49]","[30, 37, 61, 68]","[13, 14, 30, 35, 37, 41, 44, 47, 48, 49, 52, 54, 58, 60, 61, 67, 68]","[5.0, 7.0, 7.0, 7.0, 2.0, 6.0, 3.0, 3.0, 5.0, 1.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 6.0]","[0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 7.0]"
155,3.0,demote_assigned,3.0,16.0,19.0,14.0,11.0,"[30, 37, 41, 49]","[35, 48, 60, 68]","[13, 14, 30, 35, 37, 41, 44, 47, 48, 49, 52, 54, 58, 60, 61, 67, 68]","[5.0, 7.0, 7.0, 7.0, 2.0, 6.0, 3.0, 3.0, 5.0, 1.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 6.0]","[5.0, 7.0, 4.0, 7.0, 0.0, 3.0, 3.0, 3.0, 5.0, 0.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 6.0]"
155,3.0,promote_single_61,3.0,16.0,19.0,14.0,11.0,"[30, 37, 41, 49]","[30, 37, 41, 61]","[13, 14, 30, 35, 37, 41, 44, 47, 48, 49, 52, 54, 58, 60, 61, 67, 68]","[5.0, 7.0, 7.0, 7.0, 2.0, 6.0, 3.0, 3.0, 5.0, 1.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 6.0]","[4.0, 6.0, 6.0, 6.0, 1.0, 5.0, 2.0, 2.0, 4.0, 0.0, 1.0, 1.0, 1.0, 0.0, 7.0, 2.0, 5.0]"
155,3.0,promote_single_68,5.0,16.0,21.0,14.0,9.0,"[30, 37, 41, 49]","[30, 37, 41, 68]","[13, 14, 30, 35, 37, 41, 44, 47, 48, 49, 52, 54, 58, 60, 61, 67, 68]","[5.0, 7.0, 7.0, 7.0, 2.0, 6.0, 3.0, 3.0, 5.0, 1.0, 2.0, 2.0, 2.0, 1.0, 4.0, 3.0, 6.0]","[4.0, 6.0, 6.0, 6.0, 1.0, 5.0, 2.0, 2.0, 4.0, 0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 2.0, 7.0]"
180,2.0,boost_missed,7.0,21.0,28.0,14.0,7.0,"[0, 7, 30]","[0, 8, 27, 35]","[0, 7, 8, 10, 11, 12, 13, 14, 27, 28, 30, 32, 35, 36, 37, 40, 41, 44, 45, 50, 52, 53, 60, 94, 95]","[7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 3.0, 6.0, 7.0, 6.0, 6.0, 5.0, 5.0, 6.0, 6.0, 6.0]","[5.0, 5.0, 7.0, 7.0, 7.0, 6.0, 6.0, 7.0, 7.0, 7.0, 5.0, 7.0, 7.0, 6.0, 6.0, 3.0, 6.0, 7.0, 6.0, 6.0, 5.0, 5.0, 6.0, 6.0, 6.0]"
